"review_id","priority","archive_id","title_jp","current_bloc_ids","candidate_bloc_ids","issue_type","evidence","recommended_action","review_question","source_fields","review_status","reviewer_notes"
"BR-001","HIGH","2013-0327","ニュー・ジーランド外交","ASIAN_FREE_WORLD;ASIAN_COMMUNIST_BLOC","ASIAN_FREE_WORLD;ASIAN_COMMUNIST_BLOC","SOURCE_TERM_CONFIRMATION","Prior analysis found explicit historical headings, but the current metadata row does not preserve them in original_terms.","Confirm exact TOC wording and add both terms to original_terms; retain the assigned IDs only if explicit.","Do the source headings exactly read 「アジア自由圏」 and 「アジア共産圏」?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","RESOLVED","Confirmed from MOFA DA material-detail id=100-077384. TOC includes 「アジア自由圏・ASEAN」, 「アジア自由圏」, and 「アジア共産圏」; retain ASIAN_FREE_WORLD;ASIAN_COMMUNIST_BLOC and add source terms to original_terms."
"BR-002","HIGH","2013-2435","中共・中近東、アフリカ諸国関係","NON_ALIGNED_MOVEMENT","NON_ALIGNED_MOVEMENT","SOURCE_TERM_CONFIRMATION","Prior analysis identified a Third Non-Aligned Countries Summit section, but the current metadata row lacks the supporting original term.","Confirm the summit title and add the original wording; keep NON_ALIGNED_MOVEMENT if explicit.","Is the non-aligned identity explicitly stated, rather than inferred from participating states?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","RESOLVED","Confirmed from MOFA DA material-detail id=100-070338. TOC includes 「第三回非同盟諸国首脳会議」; retain NON_ALIGNED_MOVEMENT and upgrade to ASSIGNED_SOURCE_EXPLICIT/HIGH."
"BR-003","MEDIUM","B'.2.5.0.1-1","国際司法裁判所関係一件 裁判官選挙関係（第七巻）","","SOCIALIST_BLOC","COLLECTIVE_ACTOR_OR_LIST","region_tagging_notes says the contents canvass 'communist countries'.","Check whether communist countries are treated as one voting/diplomatic group or merely listed geographically.","Does the source use a collective term such as 共産圏諸国, or only list individual states?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-004","MEDIUM","B'.6.1.0.24","アジア・アフリカ会議関係一件（第一巻）","","AFRO_ASIAN_BLOC","REGION_VS_BLOC","Asian-African Conference core file.","Default to no bloc. Add AFRO_ASIAN_BLOC only where a common AA position, voting group, or coordinated diplomatic actor is explicit.","Is 'Asian-African' used as a coordinated political bloc or only as the conference's geographic frame?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-005","MEDIUM","B'6.1.0.24-1-1","アジア・アフリカ会議一件 日本の態度 参考資料関係（第二巻）","","AFRO_ASIAN_BLOC","REGION_VS_BLOC","Japan's position/reference materials for Bandung.","Keep bloc_ids blank unless the materials explicitly discuss an AA bloc/common position.","Do the reference materials explicitly identify an Afro-Asian bloc?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-006","MEDIUM","B'.6.1.0.24-2","アジア・アフリカ会議関係一件 諸外国の態度（第一巻）","","AFRO_ASIAN_BLOC","REGION_VS_BLOC","Foreign positions toward Bandung.","Check for common AA coordination; country-by-country attitudes alone do not justify a bloc.","Are AA countries treated collectively, or are their positions recorded separately?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-007","MEDIUM","B'.6.1.0.25-7","第二回アジア・アフリカ会議関係 各国の参加状況","","AFRO_ASIAN_BLOC","REGION_VS_BLOC","Participation status for the Second Asian-African Conference.","Do not assign from the conference title alone; verify collective political identity.","Does the file describe an AA bloc, or only conference participation and recognition politics?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-008","MEDIUM","B'.6.1.0.34","アジア・アフリカ人民連帯会議一件（アジア・アフリカ諸国民会議関係を含む）（第四巻）","","AFRO_ASIAN_BLOC","ORGANIZATION_VS_BLOC","Afro-Asian People's Solidarity Conference/AAPSO-related record.","Keep AAPSO in organization_ids. Add AFRO_ASIAN_BLOC only if states/groups act as a bloc beyond the organization itself.","Is the collective actor AAPSO as an organization, or a wider Afro-Asian bloc?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-009","MEDIUM","2014-4131","国連代表権問題/中共","","AFRO_ASIAN_BLOC;AFRICAN_GROUP","UN_VOTING_GROUP","UN China representation attitudes include broad regional coverage.","Check whether African or Afro-Asian states coordinate a common position/vote; otherwise leave blank.","Is there evidence of collective voting coordination rather than separate country positions?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-010","MEDIUM","2014-4133","国連代表権問題/中共","","AFRO_ASIAN_BLOC;AFRICAN_GROUP","UN_VOTING_GROUP","Post-decision government/media reactions may include regional grouping.","Assign only if the record explicitly identifies a common regional group.","Are reactions aggregated as an organized bloc/group?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","RESOLVED_BLANK","政府要人および海外報道の反応を地域別に収集した史料であり、地域グループによる共同声明、統一投票、共通交渉方針を示すものではない。西欧、東欧、アジア、アフリカ等は反応整理上の地域区分であるため、bloc_idsは空欄とする。個別国が不明なため植民地遺産別タグも付与しない。"
"BR-011","MEDIUM","2014-2744","国連中国代表権問題/中共（各国の態度）","","AFRICAN_GROUP;AFRO_ASIAN_BLOC","UN_VOTING_GROUP","UN China representation voting attitudes include several African states.","Country voting attitudes alone are insufficient; check for an African or AA common position.","Do the African states coordinate, caucus, or vote as a group?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-012","MEDIUM","2015-2086","国連中国代表権問題/中共（各国の態度）","","AFRO_ASIAN_BLOC;AFRICAN_GROUP","UN_VOTING_GROUP","Regional attitudes before/after the Nixon China announcement.","Check the internal organization of the attitudes section before assigning any bloc.","Is a regional collective actor explicit?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-013","MEDIUM","2015-2085","国連代表権問題/中共（アジア、中近東、アフリカ諸国の態度）","","AFRO_ASIAN_BLOC;AFRICAN_GROUP","UN_VOTING_GROUP","Title explicitly covers Asian, Middle Eastern, and African countries' attitudes.","Do not infer a bloc from regional coverage; verify collective voting/diplomatic coordination.","Are these regional attitudes separate country positions or a coordinated bloc?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-014","LOW","2010-1215","国連第30回総会","","ARAB_STATES_GROUP;AFRICAN_GROUP;ASIAN_GROUP","DIPLOMATIC_OUTREACH_VS_GROUP","TOC contains Arab states, African states, and Asia-Pacific states invitation lunches.","Keep blank unless the meal/meeting records show a formal or coordinated group position.","Are these only audience categories for diplomatic outreach, or formal group diplomacy?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","OPEN",""
"BR-015","LOW","2014-3472","国連 カンボディア問題国際会議","","AFRICAN_GROUP;ASIAN_GROUP;ARAB_STATES_GROUP","REGIONAL_ATTITUDES_VS_GROUP","Cambodia conference materials organize foreign views by Middle East/Africa and Asian countries.","Regional organization of reports is not enough; assign only where collective action or a common declaration is explicit.","Do any regional sections document a common group position?","title_jp;keyword_secondary;original_terms;tagging_notes;region_tagging_notes","RESOLVED","User-provided MOFA TOC shows regional/country sections under 「諸外国の会議に関する考え方（含、日本の対応）」: Middle East/Africa, Paraguay/Venezuela/US, Europe, Asia, Thailand, Singapore, Malaysia, Philippines, Indonesia, Vietnam, Laos, China, Australia. This is regional/country reporting on views toward the conference, not evidence of AFRICAN_GROUP, ASIAN_GROUP, or ARAB_STATES_GROUP acting as formal/coordinated groups. Keep record-level bloc_ids blank unless body later shows collective declaration or group action."
