"tag_type","tag_id","preferred_label_en","preferred_label_jp","vocabulary_source"
"analytical_context","COLD_WAR_IN_SOUTHEAST_ASIA","Cold War in Southeast Asia","東南アジアにおける冷戦","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","COLD_WAR_SECURITY_ARCHITECTURE_IN_ASIA","Cold War Security Architecture in Asia","アジアにおける冷戦期安全保障構造","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","COMMUNIST_PARTY_POLITICS","Communist Party Politics","共産党政治","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","DECOLONIZATION_AND_UN_DIPLOMACY","Decolonization and UN Diplomacy","脱植民地化と国連外交","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","FRENCH_COLONIAL_LEGACY_IN_AFRICA","French Colonial Legacy in Africa","アフリカにおけるフランス植民地遺産","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION","Postcolonial States and China Representation","ポストコロニアル諸国と中国代表権問題","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","PRC_VIETNAM_RIVALRY","PRC-Vietnam Rivalry","中越対立／中国・ベトナム対立","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","REGIONAL_IDEOLOGICAL_CONFLICT","Regional Ideological Conflict","地域的イデオロギー対立","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","REGIONAL_SECURITY_IN_SOUTHEAST_ASIA","Regional Security in Southeast Asia","東南アジアの地域安全保障","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","SINO_SOVIET_RIVALRY_IN_SOUTHEAST_ASIA","Sino-Soviet Rivalry in Southeast Asia","東南アジアにおける中ソ対立","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","SOUTHEAST_ASIAN_COMMUNIST_POLITICS","Southeast Asian Communist Politics","東南アジア共産主義政治","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","THIRD_WORLD_RESPONSES_TO_CHINA_REPRESENTATION","Third World Responses to China Representation","第三世界の中国代表権問題への反応","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","US_ALLIANCE_SYSTEM_IN_ASIA","US Alliance System in Asia","アジアにおける米国同盟体制","controlled_vocabulary_analytical_contexts_v05.csv"
"bloc","AFRICAN_GROUP","African Group","アフリカ・グループ","controlled_vocabulary_blocs_v02.csv"
"bloc","ASIAN_COMMUNIST_BLOC","Asian Communist Bloc","アジア共産圏","controlled_vocabulary_blocs_v02.csv"
"bloc","ASIAN_FREE_WORLD","Asian Free World","アジア自由圏","controlled_vocabulary_blocs_v02.csv"
"bloc","ASIAN_GROUP","Asian Group","アジア・グループ","controlled_vocabulary_blocs_v02.csv"
"bloc","GROUP_B","UNCTAD Group B","UNCTAD・Bグループ（先進国グループ）","controlled_vocabulary_blocs_v02.csv"
"bloc","GROUP_OF_77","Group of 77","77か国グループ","controlled_vocabulary_blocs_v02.csv"
"bloc","NON_ALIGNED_MOVEMENT","Non-Aligned Movement","非同盟運動／非同盟諸国","controlled_vocabulary_blocs_v02.csv"
"bloc","SOCIALIST_BLOC","Socialist Bloc / Socialist Camp","社会主義圏／社会主義陣営","controlled_vocabulary_blocs_v02.csv"
"entity","AFG","Afghanistan","アフガニスタン","controlled_vocabulary_entities_v05.csv"
"entity","AGO","Angola","アンゴラ","controlled_vocabulary_entities_v05.csv"
"entity","ALB","Albania","アルバニア","controlled_vocabulary_entities_v05.csv"
"entity","ARG","Argentina","アルゼンチン","controlled_vocabulary_entities_v05.csv"
"entity","AUS","Australia","オーストラリア","controlled_vocabulary_entities_v05.csv"
"entity","BOL","Bolivia","ボリビア","controlled_vocabulary_entities_v05.csv"
"entity","BRA","Brazil","ブラジル","controlled_vocabulary_entities_v05.csv"
"entity","CHL","Chile","チリ","controlled_vocabulary_entities_v05.csv"
"entity","CHN_AMBIG","China (ambiguous/representation question)","中国（曖昧／代表権問題）","controlled_vocabulary_entities_v05.csv"
"entity","CIV","Cote d'Ivoire","コートジボワール","controlled_vocabulary_entities_v05.csv"
"entity","COD","Democratic Republic of the Congo / Zaire","コンゴ民主共和国／ザイール","controlled_vocabulary_entities_v05.csv"
"entity","COL","Colombia","コロンビア","controlled_vocabulary_entities_v05.csv"
"entity","DEU_W","West Germany / Federal Republic of Germany","西ドイツ／ドイツ連邦共和国","controlled_vocabulary_entities_v05.csv"
"entity","DOM","Dominican Republic","ドミニカ共和国","controlled_vocabulary_entities_v05.csv"
"entity","ECU","Ecuador","エクアドル","controlled_vocabulary_entities_v05.csv"
"entity","EGY","Egypt","エジプト","controlled_vocabulary_entities_v05.csv"
"entity","FRA","France","フランス","controlled_vocabulary_entities_v05.csv"
"entity","GHA","Ghana","ガーナ","controlled_vocabulary_entities_v05.csv"
"entity","IDN","Indonesia","インドネシア","controlled_vocabulary_entities_v05.csv"
"entity","IND","India","インド","controlled_vocabulary_entities_v05.csv"
"entity","IRN","Iran","イラン","controlled_vocabulary_entities_v05.csv"
"entity","IRQ","Iraq","イラク","controlled_vocabulary_entities_v05.csv"
"entity","ISR","Israel","イスラエル","controlled_vocabulary_entities_v05.csv"
"entity","JPN","Japan","日本","controlled_vocabulary_entities_v05.csv"
"entity","KEN","Kenya","ケニア","controlled_vocabulary_entities_v05.csv"
"entity","KHM","Cambodia","カンボディア／カンボジア","controlled_vocabulary_entities_v05.csv"
"entity","KOR","Republic of Korea / South Korea","韓国／大韓民国","controlled_vocabulary_entities_v05.csv"
"entity","MAR","Morocco","モロッコ","controlled_vocabulary_entities_v05.csv"
"entity","MDG","Madagascar","マダガスカル","controlled_vocabulary_entities_v05.csv"
"entity","MEX","Mexico","メキシコ","controlled_vocabulary_entities_v05.csv"
"entity","MMR","Myanmar/Burma","ビルマ／ミャンマー","controlled_vocabulary_entities_v05.csv"
"entity","NZL","New Zealand","ニュージーランド","controlled_vocabulary_entities_v05.csv"
"entity","PAK","Pakistan","パキスタン","controlled_vocabulary_entities_v05.csv"
"entity","PAN","Panama","パナマ","controlled_vocabulary_entities_v05.csv"
"entity","PER","Peru","ペルー","controlled_vocabulary_entities_v05.csv"
"entity","PRC","People's Republic of China","中華人民共和国","controlled_vocabulary_entities_v05.csv"
"entity","PRY","Paraguay","パラグアイ","controlled_vocabulary_entities_v05.csv"
"entity","ROC","Republic of China","中華民国","controlled_vocabulary_entities_v05.csv"
"entity","SAU","Saudi Arabia","サウディ・アラビア","controlled_vocabulary_entities_v05.csv"
"entity","SEN","Senegal","セネガル","controlled_vocabulary_entities_v05.csv"
"entity","SGP","Singapore","シンガポール","controlled_vocabulary_entities_v05.csv"
"entity","SYR","Syria","シリア","controlled_vocabulary_entities_v05.csv"
"entity","THA","Thailand","タイ","controlled_vocabulary_entities_v05.csv"
"entity","TUR","Turkey","トルコ","controlled_vocabulary_entities_v05.csv"
"entity","TWN","Taiwan","台湾","controlled_vocabulary_entities_v05.csv"
"entity","URY","Uruguay","ウルグアイ","controlled_vocabulary_entities_v05.csv"
"entity","USA","United States","米国","controlled_vocabulary_entities_v05.csv"
"entity","USSR","Soviet Union","ソ連","controlled_vocabulary_entities_v05.csv"
"entity","VEN","Venezuela","ベネズエラ","controlled_vocabulary_entities_v05.csv"
"entity","VNM","Vietnam","ベトナム／ヴィエトナム","controlled_vocabulary_entities_v05.csv"
"entity","ZAF","South Africa","南アフリカ共和国","controlled_vocabulary_entities_v05.csv"
"event","AAPSO_CONFERENCE_SERIES","Afro-Asian People's Solidarity Conference / AAPSO Conference Series","アジア・アフリカ人民連帯会議／AAPSO系会議","controlled_vocabulary_events_v12.csv"
"event","BANDUNG_1955","Asian-African Conference (Bandung Conference)","アジア・アフリカ会議（バンドン会議）","controlled_vocabulary_events_v12.csv"
"event","CAMBODIA_INTL_CONFERENCE_1981","International Conference on Kampuchea / Cambodia, 1981","1981年カンボジア問題国際会議","controlled_vocabulary_events_v12.csv"
"event","KASHMIR_PRINCESS_INCIDENT_1955","Kashmir Princess Incident","カシミール・プリンセス号事件","controlled_vocabulary_events_v12.csv"
"event","NAM_SUMMIT_3_1970","Third Conference of Heads of State or Government of Non-Aligned Countries","第三回非同盟諸国首脳会議","controlled_vocabulary_events_v12.csv"
"event","NIXON_CHINA_VISIT_ANNOUNCEMENT_1971","Announcement of Nixon's Visit to China","ニクソン訪中発表","controlled_vocabulary_events_v12.csv"
"event","SECOND_AA_CONF_1965_PLANNED","Planned Second Asian-African Conference (Algiers)","第二回アジア・アフリカ会議（アルジェ予定会議）","controlled_vocabulary_events_v12.csv"
"event","UNCTAD_III_1972","Third Session of UNCTAD","UNCTAD第三回総会","controlled_vocabulary_events_v12.csv"
"event","UNGA_25_1970","25th Session of the United Nations General Assembly","第25回国連総会","controlled_vocabulary_events_v12.csv"
"event","UNGA_26_1971","26th Session of the United Nations General Assembly","第26回国連総会","controlled_vocabulary_events_v12.csv"
"event","UNGA_30_1975","30th Session of the United Nations General Assembly","第30回国連総会","controlled_vocabulary_events_v12.csv"
"keyword","AAPSO","Afro-Asian People's Solidarity","アジア・アフリカ人民連帯","controlled_vocabulary_keywords_v13.csv"
"keyword","AFRO_ASIAN_CONF","Asian-African Conference","アジア・アフリカ会議","controlled_vocabulary_keywords_v13.csv"
"keyword","AFRO_ASIAN_SOLIDARITY","Afro-Asian Solidarity","アジア・アフリカ連帯","controlled_vocabulary_keywords_v13.csv"
"keyword","BANDUNG_CONFERENCE","Bandung Conference","バンドン会議","controlled_vocabulary_keywords_v13.csv"
"keyword","COMMITTEE_ACTIVITIES","Committee Activities","委員会活動","controlled_vocabulary_keywords_v13.csv"
"keyword","CONFERENCE_DIPLOMACY","Conference Diplomacy","会議外交","controlled_vocabulary_keywords_v13.csv"
"keyword","DECOL","Decolonization","脱植民地化","controlled_vocabulary_keywords_v13.csv"
"keyword","DIP","Diplomacy","外交","controlled_vocabulary_keywords_v13.csv"
"keyword","DIPLOMATIC_LIAISON","Diplomatic Liaison","外交連絡／連絡官","controlled_vocabulary_keywords_v13.csv"
"keyword","DIPLOMATIC_LOBBYING","Diplomatic Lobbying","外交ロビー活動","controlled_vocabulary_keywords_v13.csv"
"keyword","ECON_COOP","Economic Cooperation","経済協力","controlled_vocabulary_keywords_v13.csv"
"keyword","ECONOMIC_SEMINAR","Economic Seminar","経済ゼミナール","controlled_vocabulary_keywords_v13.csv"
"keyword","FOREIGN_GOVERNMENT_ATTITUDES","Foreign Government Attitudes","諸外国政府の態度","controlled_vocabulary_keywords_v13.csv"
"keyword","GOVERNMENT_REACTIONS","Government Reactions","政府反応","controlled_vocabulary_keywords_v13.csv"
"keyword","ICJ","International Court of Justice","国際司法裁判所","controlled_vocabulary_keywords_v13.csv"
"keyword","INTERNATIONAL_ORGANIZATION_ELECTIONS","INTERNATIONAL_ORGANIZATION_ELECTIONS","","MISSING_LABEL_FALLBACK"
"keyword","INVITATION","Invitation","招請／招待","controlled_vocabulary_keywords_v13.csv"
"keyword","JAPANESE_DIPLOMATIC_REPORTING","Japanese Diplomatic Reporting","日本外交当局の報告","controlled_vocabulary_keywords_v13.csv"
"keyword","JAPANESE_POSITION","Japanese Position","日本の態度／日本の立場","controlled_vocabulary_keywords_v13.csv"
"keyword","JUDICIAL_ELECTIONS","JUDICIAL_ELECTIONS","","MISSING_LABEL_FALLBACK"
"keyword","MILITARY","Military Affairs","軍事","controlled_vocabulary_keywords_v13.csv"
"keyword","NATIONAL_LIBERATION_MOVEMENT","National Liberation Movement","民族解放運動","controlled_vocabulary_keywords_v13.csv"
"keyword","NIXON_VISIT_TO_PRC","President Nixon's Visit to the PRC","ニクソン米大統領訪中","controlled_vocabulary_keywords_v13.csv"
"keyword","NUCLEAR_ISSUES","Nuclear Issues","核・原子力問題","controlled_vocabulary_keywords_v13.csv"
"keyword","ORGANIZATIONAL_STRUCTURE","Organizational Structure","組織構造","controlled_vocabulary_keywords_v13.csv"
"keyword","PAN_AFRICAN","Pan-Africanism","パン・アフリカ主義","controlled_vocabulary_keywords_v13.csv"
"keyword","PARTICIPATION","Participation","参加状況","controlled_vocabulary_keywords_v13.csv"
"keyword","PARTICIPATION_INTENTION","Participation Intention","参加意向","controlled_vocabulary_keywords_v13.csv"
"keyword","PEOPLES_DIPLOMACY","People's Diplomacy","人民外交／民間外交","controlled_vocabulary_keywords_v13.csv"
"keyword","POLICY_PREPARATION","Policy Preparation","政策準備／方針準備","controlled_vocabulary_keywords_v13.csv"
"keyword","POST_CONFERENCE_FOLLOW_UP","Post-Conference Follow-up","会議後フォローアップ","controlled_vocabulary_keywords_v13.csv"
"keyword","PRC_POSITION_ON_NUCLEAR_ISSUES","PRC Position on Nuclear Issues","原子力問題に対する中共の態度","controlled_vocabulary_keywords_v13.csv"
"keyword","PRC_ROC_COMPETITION","PRC-ROC Competition","中華人民共和国・中華民国競合","controlled_vocabulary_keywords_v13.csv"
"keyword","REC","Diplomatic Recognition","国家承認／外交承認","controlled_vocabulary_keywords_v13.csv"
"keyword","SECOND_AFRO_ASIAN_CONFERENCE","Second Asian-African Conference","第二回アジア・アフリカ会議","controlled_vocabulary_keywords_v13.csv"
"keyword","SECURITY","Security","安全保障","controlled_vocabulary_keywords_v13.csv"
"keyword","SUPPORT_REQUEST","Support Request","支持要請","controlled_vocabulary_keywords_v13.csv"
"keyword","THIRD_WORLD","Third World Diplomacy","第三世界外交","controlled_vocabulary_keywords_v13.csv"
"keyword","TRANSNATIONAL_POLITICAL_ORGANIZATION","Transnational Political Organization","越境的政治組織","controlled_vocabulary_keywords_v13.csv"
"keyword","UN","United Nations","国連","controlled_vocabulary_keywords_v13.csv"
"keyword","UN_CHINA_REPRESENTATION_ISSUE","UN China Representation Issue","国連中国代表権問題","controlled_vocabulary_keywords_v13.csv"
"keyword","UNGA","UN General Assembly","国連総会","controlled_vocabulary_keywords_v13.csv"
"keyword","US_PRC_RAPPROCHEMENT","US-PRC Rapprochement","米中接近","controlled_vocabulary_keywords_v13.csv"
"keyword","VOTE_COUNTING","Vote Counting","票読み","controlled_vocabulary_keywords_v13.csv"
"keyword","VOTING_BEHAVIOR","Voting Behavior","投票行動","controlled_vocabulary_keywords_v13.csv"
"organization","AAPSO","Afro-Asian People's Solidarity Organization","アジア・アフリカ人民連帯機構","controlled_vocabulary_organizations_v07.csv"
"organization","ASEAN","Association of Southeast Asian Nations","東南アジア諸国連合／ASEAN","controlled_vocabulary_organizations_v07.csv"
"organization","EC","European Communities","欧州共同体","controlled_vocabulary_organizations_v07.csv"
"organization","ECAFE","Economic Commission for Asia and the Far East","国連アジア極東経済委員会","controlled_vocabulary_organizations_v07.csv"
"organization","ICJ","International Court of Justice","国際司法裁判所","controlled_vocabulary_organizations_v07.csv"
"organization","UN","United Nations","国際連合／国連","controlled_vocabulary_organizations_v07.csv"
"organization","UNCTAD","United Nations Conference on Trade and Development","国連貿易開発会議","controlled_vocabulary_organizations_v07.csv"
"organization","UNGA","United Nations General Assembly","国連総会","controlled_vocabulary_organizations_v07.csv"
"organization","UNSC","United Nations Security Council","国連安全保障理事会","controlled_vocabulary_organizations_v07.csv"
"organization","VIET_MINH","Viet Minh","ヴィエトミン","controlled_vocabulary_organizations_v07.csv"
"organization","WMO","World Meteorological Organization","世界気象機関","controlled_vocabulary_organizations_v07.csv"
"reaction_region","AFRICA","Africa","アフリカ","controlled_vocabulary_regions_v02.csv"
"reaction_region","AFRO_ASIA","Afro-Asia / Asian-African World","アジア・アフリカ","controlled_vocabulary_regions_v02.csv"
"reaction_region","AMERICAS","Americas","米州","controlled_vocabulary_regions_v02.csv"
"reaction_region","ASIA","Asia","アジア","controlled_vocabulary_regions_v02.csv"
"reaction_region","ASIA_PACIFIC","Asia-Pacific","アジア太平洋","controlled_vocabulary_regions_v02.csv"
"reaction_region","CENTRAL_AMERICA","Central America","中米","controlled_vocabulary_regions_v02.csv"
"reaction_region","EAST_ASIA","East Asia","東アジア","controlled_vocabulary_regions_v02.csv"
"reaction_region","EASTERN_EUROPE","Eastern Europe","東欧","controlled_vocabulary_regions_v02.csv"
"reaction_region","EUROPE","Europe","欧州・ヨーロッパ","controlled_vocabulary_regions_v02.csv"
"reaction_region","GLOBAL","Global / Worldwide","全世界","controlled_vocabulary_regions_v02.csv"
"reaction_region","LATIN_AMERICA","Latin America","ラテンアメリカ・中南米","controlled_vocabulary_regions_v02.csv"
"reaction_region","MIDEAST","Middle East / Near East","中東・中近東","controlled_vocabulary_regions_v02.csv"
"reaction_region","NORTH_AMERICA","North America","北米","controlled_vocabulary_regions_v02.csv"
"reaction_region","OCEANIA","Oceania / Pacific","オセアニア・太平洋","controlled_vocabulary_regions_v02.csv"
"reaction_region","SOUTH_ASIA","South Asia","南アジア","controlled_vocabulary_regions_v02.csv"
"reaction_region","SOUTHEAST_ASIA","Southeast Asia","東南アジア","controlled_vocabulary_regions_v02.csv"
"reaction_region","WESTERN_EUROPE","Western Europe","西欧","controlled_vocabulary_regions_v02.csv"
"region","AFRICA","Africa","アフリカ","controlled_vocabulary_regions_v02.csv"
"region","AFRO_ASIA","Afro-Asia / Asian-African World","アジア・アフリカ","controlled_vocabulary_regions_v02.csv"
"region","ASIA","Asia","アジア","controlled_vocabulary_regions_v02.csv"
"region","ASIA_PACIFIC","Asia-Pacific","アジア太平洋","controlled_vocabulary_regions_v02.csv"
"region","EAST_ASIA","East Asia","東アジア","controlled_vocabulary_regions_v02.csv"
"region","EUROPE","Europe","欧州・ヨーロッパ","controlled_vocabulary_regions_v02.csv"
"region","GLOBAL","Global / Worldwide","全世界","controlled_vocabulary_regions_v02.csv"
"region","MIDEAST","Middle East / Near East","中東・中近東","controlled_vocabulary_regions_v02.csv"
"region","NORTH_AMERICA","North America","北米","controlled_vocabulary_regions_v02.csv"
"region","SOUTHEAST_ASIA","Southeast Asia","東南アジア","controlled_vocabulary_regions_v02.csv"
"region","WESTERN_EUROPE","Western Europe","西欧","controlled_vocabulary_regions_v02.csv"
"related_organization","SEATO","Southeast Asia Treaty Organization","東南アジア条約機構","controlled_vocabulary_organizations_v07.csv"
